n_holes,mwd_r2,mwd_rmse,mwd_mae,seis_r2,seis_rmse,seis_mae,fused_r2,fused_rmse,fused_mae,mwd_far_rmse,fused_far_rmse,hole_mwd_rmse,hole_seis_rmse,hole_fused_rmse
1,0.3034403469656327,11.824938178700151,8.821171553465488,0.1878058915643882,12.768786892237477,7.158784649584326,0.25690313524555164,12.213564656198011,7.050591431409627,11.92404497663027,12.307735229355655,0.22781079434933166,0.008031651569809593,0.008040182208386567
2,0.30790697693276614,11.786963995365781,8.559492441825146,0.5670128847839395,9.323032706127382,5.848188712936622,0.6248551405949672,8.677991515788584,6.025380113440066,11.892455644361698,8.699654209245182,0.0672826896367483,8.195030920876217,0.07437123677288843
3,0.3068435304662729,11.796016242210884,8.50314365322989,0.5903529343008703,9.068274241383014,5.575218475852615,0.6046215294660889,8.908944017028292,6.051005426973386,11.972965178283374,8.997187785679502,2.8004498364550248,7.269390283195121,2.7914891871330814
4,0.3381455378183501,11.526593352884937,8.304697218182355,0.5987288651218707,8.97508729661261,5.70660700624058,0.6096041567613295,8.852630014613109,6.285519483081369,11.891396308477017,9.051583044439097,1.5752660201597668,8.232931655009759,1.6799951113909373
5,0.35405857322437917,11.387182749587868,8.32255904754178,0.6036624644272395,8.919742634333542,5.584167947552149,0.6605952132622002,8.254270611234743,5.921958488706126,11.783933037969097,8.421116182119384,2.811427229630929,7.672904795505251,2.742121555480498
6,0.40469654617441064,10.931730650437954,7.896171042047012,0.6020731521983707,8.937608810905326,5.62837951527635,0.6538443635839282,8.335956221184405,5.898356300722266,11.342024729317076,8.527447674961978,2.8067109934445718,7.627775875916773,2.7433680322581937
7,0.3083157555381605,11.78348254835008,8.812008945345827,0.6004171694840014,8.956186546418826,5.670406765832417,0.6517200798685471,8.361495097015105,6.047660349777186,11.895739416307338,8.489862862739756,2.7839491781993906,7.618992453020957,2.7585461155674635
8,0.43568718644764115,10.643382675271031,7.594230346507077,0.6025191731806596,8.932598494625395,5.629378412964739,0.680400540821405,8.009819680251743,5.736465939434781,11.234592528158737,8.268472493776562,2.72901849161049,7.76460166067799,2.679475095696001
9,0.46347375487903497,10.37803681298591,7.172749067818998,0.6017727708526557,8.940981521898246,5.642978930934441,0.6815704619794243,7.995145924266076,5.666636721985427,10.995831864258149,8.287998618502233,2.5932708135481644,7.480363037391522,2.544152695468636
10,0.502379937819244,9.99467466246055,6.692805760052565,0.6021247660877573,8.937029156988181,5.611292988506722,0.6866360283682783,7.9312977262245035,5.521744769143129,10.684176819835729,8.283239543606019,2.5381077771678426,7.848436065426531,2.516969621097519
11,0.5247066215766358,9.767886471255403,6.802937879902061,0.5943289049637919,9.024159308001149,5.767444102827328,0.7105438660594775,7.622739878276674,5.459261518141472,10.493749147250622,7.960007636723449,2.6006486858750617,8.198632197612989,2.5744379826795156
12,0.5515181866900145,9.488381531632031,6.428150942062759,0.5951925747906798,9.014548015866069,5.676964306119483,0.711828649445895,7.605803873035409,5.285506197590545,10.270139487399433,8.006985627149406,2.5602740233057153,7.935999958137491,2.537253163581987
